GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,B5S001,B5S002,B5S003,B5S004,B5S005,B5S006,B5S007,B5S008,B5S009,B5S010,B5S011,B5S012,B5S013,B5S014
"G0600190","1960","California","060","Fresno","0190","Fresno",168481,8870,560,3312,950,476,251,169899,8522,523,2940,783,220,158
"G0600210","1960","California","060","Glenn","0210","Glenn",8830,29,47,5,25,2,2,8218,20,42,3,21,0,1
"G0600230","1960","California","060","Humboldt","0230","Humboldt",52560,146,1315,13,21,19,28,49301,136,1293,18,10,16,16
"G0600250","1960","California","060","Imperial","0250","Imperial",36704,1576,411,146,270,618,165,29671,1416,419,135,203,297,74
"G0600270","1960","California","060","Inyo","0270","Inyo",5424,1,519,1,5,11,0,5196,2,517,1,3,4,0
"G0600290","1960","California","060","Kern","0290","Kern",137208,8443,356,258,432,1123,74,134369,8297,320,254,352,429,69
"G0600310","1960","California","060","Kings","0310","Kings",23689,1385,88,136,119,6,10,23010,1193,88,125,95,3,7
"G0600330","1960","California","060","Lake","0330","Lake",6730,2,229,0,4,17,5,6577,5,204,2,3,4,4
"G0600350","1960","California","060","Lassen","0350","Lassen",6712,265,102,6,3,4,5,6136,228,126,5,2,1,2
"G0600370","1960","California","060","Los Angeles","0370","Los Angeles",2656627,222731,4139,38998,10836,7696,3620,2797239,238815,3970,38316,8450,4426,2908
"G0600390","1960","California","060","Madera","0390","Madera",18653,1430,217,121,91,57,4,18123,1352,203,102,79,32,4
"G0600410","1960","California","060","Marin","0410","Marin",72042,2694,99,259,228,96,81,69260,1376,54,335,150,65,81
"G0600430","1960","California","060","Mariposa","0430","Mariposa",2640,24,64,0,1,1,0,2281,4,47,0,2,0,0
"G0600450","1960","California","060","Mendocino","0450","Mendocino",25234,134,609,33,99,53,25,24084,67,606,32,39,20,24
"G0600470","1960","California","060","Merced","0470","Merced",43054,2752,110,389,112,270,29,40642,2304,89,414,81,175,25
"G0600490","1960","California","060","Modoc","0490","Modoc",4153,21,137,6,1,0,0,3830,23,136,1,0,0,0
"G0600510","1960","California","060","Mono","0510","Mono",1097,1,67,0,0,0,3,987,0,57,0,0,0,1
"G0600530","1960","California","060","Monterey","0530","Monterey",100677,4883,512,1439,654,2733,395,79890,3035,183,1734,426,1490,300
"G0600550","1960","California","060","Napa","0550","Napa",32583,302,57,69,169,76,44,32032,250,61,71,112,32,32
"G0600570","1960","California","060","Nevada","0570","Nevada",10437,10,24,1,42,0,0,10323,11,26,1,34,0,2
"G0600590","1960","California","060","Orange","0590","Orange",344268,1642,382,1908,241,441,283,350086,1529,348,1982,203,306,306
"G0600610","1960","California","060","Placer","0610","Placer",27715,191,130,683,93,38,22,27150,194,114,595,47,11,15
"G0600630","1960","California","060","Plumas","0630","Plumas",5835,127,113,0,15,0,3,5287,101,127,0,10,1,1
"G0600650","1960","California","060","Riverside","0650","Riverside",144972,6469,897,678,110,824,178,144400,6017,805,496,98,120,127
