GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,AE7AA1990,AE7AB1990,AE7AC1990,AE7AD1990,AE7AE1990,AE7AF1990,AE7AG1990,AE7AH1990,AE7AI1990,AE7AJ1990,AE7AK1990,AE7AL1990
"G0600370","1990","California","06","060","Los Angeles County","037","0370","Los Angeles County",3618850,934776,29159,907810,21327,,1416253,58198,16349,46675,1813767,
"G0600390","1990","California","06","060","Madera County","039","0390","Madera County",52974,2294,1165,1084,173,,10395,200,253,180,19372,
"G0600410","1990","California","06","060","Marin County","041","0410","Marin County",194665,7529,661,9064,247,,9463,643,128,378,7318,
"G0600430","1990","California","06","060","Mariposa County","043","0430","Mariposa County",12771,120,593,113,8,,450,2,46,15,184,
"G0600450","1990","California","06","060","Mendocino County","045","0450","Mendocino County",67775,482,2900,866,74,,4251,25,404,59,3509,
"G0600470","1990","California","06","060","Merced County","047","0470","Merced County",96701,7889,1135,14109,462,,23579,634,381,1019,32494,
"G0600490","1990","California","06","060","Modoc County","049","0490","Modoc County",8479,78,378,35,7,,324,0,28,5,344,
"G0600510","1990","California","06","060","Mono County","051","0510","Mono County",8329,41,341,114,5,,900,2,27,17,180,
"G0600530","1990","California","06","060","Monterey County","053","0530","Monterey County",186166,21506,2124,25365,929,,40842,1343,893,2491,74001,
"G0600550","1990","California","06","060","Napa County","055","0550","Napa County",89453,1167,687,3391,126,,9016,37,141,213,6534,
"G0600570","1990","California","06","060","Nevada County","057","0570","Nevada County",73697,172,738,615,19,,2674,8,111,20,456,
"G0600590","1990","California","06","060","Orange County","059","0590","Orange County",1554501,39159,8584,240756,2728,,340092,3522,3581,8436,209197,
"G0600610","1990","California","06","060","Placer County","061","0610","Placer County",152601,987,1608,3635,94,,9347,46,253,171,4054,
"G0600630","1990","California","06","060","Plumas County","063","0630","Plumas County",17996,151,561,112,12,,594,1,43,6,263,
"G0600650","1990","California","06","060","Riverside County","065","0650","Riverside County",754140,59966,8393,38349,2051,,140627,3625,3101,3242,156919,
