GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B79AA125,B79AA125M
"G0600710","2008-2012","California","06","060","San Bernardino County","071","0710","San Bernardino County, California",54750,428
"G0600730","2008-2012","California","06","060","San Diego County","073","0730","San Diego County, California",63373,437
"G0600750","2008-2012","California","06","060","San Francisco County","075","0750","San Francisco County, California",73802,1026
"G0600770","2008-2012","California","06","060","San Joaquin County","077","0770","San Joaquin County, California",53895,721
"G0600790","2008-2012","California","06","060","San Luis Obispo County","079","0790","San Luis Obispo County, California",59628,1422
"G0600810","2008-2012","California","06","060","San Mateo County","081","0810","San Mateo County, California",87751,1114
"G0600830","2008-2012","California","06","060","Santa Barbara County","083","0830","Santa Barbara County, California",62723,1074
"G0600850","2008-2012","California","06","060","Santa Clara County","085","0850","Santa Clara County, California",90747,721
"G0600870","2008-2012","California","06","060","Santa Cruz County","087","0870","Santa Cruz County, California",66571,2126
"G0600890","2008-2012","California","06","060","Shasta County","089","0890","Shasta County, California",44396,1074
"G0600910","2008-2012","California","06","060","Sierra County","091","0910","Sierra County, California",42500,9534
"G0600930","2008-2012","California","06","060","Siskiyou County","093","0930","Siskiyou County, California",37948,1640
"G0600950","2008-2012","California","06","060","Solano County","095","0950","Solano County, California",69006,1351
"G0600970","2008-2012","California","06","060","Sonoma County","097","0970","Sonoma County, California",63565,911
"G0600990","2008-2012","California","06","060","Stanislaus County","099","0990","Stanislaus County, California",49866,817
"G0601010","2008-2012","California","06","060","Sutter County","101","1010","Sutter County, California",50510,1655
"G0601030","2008-2012","California","06","060","Tehama County","103","1030","Tehama County, California",40307,1475
"G0601050","2008-2012","California","06","060","Trinity County","105","1050","Trinity County, California",36569,3475
"G0601070","2008-2012","California","06","060","Tulare County","107","1070","Tulare County, California",43803,776
"G0601090","2008-2012","California","06","060","Tuolumne County","109","1090","Tuolumne County, California",48169,2203
"G0601110","2008-2012","California","06","060","Ventura County","111","1110","Ventura County, California",76483,852
"G0601130","2008-2012","California","06","060","Yolo County","113","1130","Yolo County, California",57260,1807
"G0601150","2008-2012","California","06","060","Yuba County","115","1150","Yuba County, California",46641,2644
"G0800010","2008-2012","Colorado","08","080","Adams County","001","0010","Adams County, Colorado",56633,810
"G0800030","2008-2012","Colorado","08","080","Alamosa County","003","0030","Alamosa County, Colorado",38045,4412
"G0800050","2008-2012","Colorado","08","080","Arapahoe County","005","0050","Arapahoe County, Colorado",60400,821
"G0800070","2008-2012","Colorado","08","080","Archuleta County","007","0070","Archuleta County, Colorado",54007,5108
"G0800090","2008-2012","Colorado","08","080","Baca County","009","0090","Baca County, Colorado",39497,2343
"G0800110","2008-2012","Colorado","08","080","Bent County","011","0110","Bent County, Colorado",36297,2488
"G0800130","2008-2012","Colorado","08","080","Boulder County","013","0130","Boulder County, Colorado",67403,1382
"G0800140","2008-2012","Colorado","08","080","Broomfield County","014","0140","Broomfield County, Colorado",80483,3274
